task_index_sample,task_name,D_sample,D_full,D_changed,episodes,n_episodes,phi0_mean_sample,phi0_mean_full,phi0_delta,episodes_phi0_gt0,phi0_frac_gt0,valid_rate_sample,valid_rate_full,valid_delta,integrality_ok,reward_instrumentation,drop_reasons,note
51,cook_a_brisket,3.0,3.0,False,66,200,0.09697,0.175973,0.07900299999999999,88.0,0.4467,0.8333,0.985,0.15169999999999995,True,ok,"{""progress_out_of_range"": 3}",
52,sorting_bottles_cans_and_paper,3.0,3.0,False,46,200,0.02381,0.049069,0.025259,28.0,0.1421,0.913,0.985,0.07199999999999995,True,ok,"{""progress_out_of_range"": 3}",
53,tidying_living_room,4.0,4.0,False,56,200,0.147727,0.195565,0.04783799999999999,71.0,0.5726,0.3929,0.62,0.22709999999999997,True,ok,"{""phi0_out_of_range"": 41, ""progress_out_of_range"": 35}",
54,putting_away_toys,1.0,1.0,False,41,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
55,re_shelving_library_books,1.0,1.0,False,52,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
56,make_rose_centerpieces,4.0,4.0,False,54,200,0.09375,0.135638,0.04188800000000001,81.0,0.4309,0.8889,0.94,0.05109999999999992,True,ok,"{""phi0_out_of_range"": 6, ""progress_out_of_range"": 6}",
57,sweeping_garage,2.0,2.0,False,54,200,0.0,0.01,0.01,4.0,0.02,0.963,1.0,0.03700000000000003,True,ok,{},
58,stacking_wood,1.0,1.0,False,44,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
59,organizing_art_supplies,5.0,5.0,False,77,200,0.082759,0.125926,0.04316700000000001,91.0,0.4815,0.7532,0.945,0.19179999999999997,True,ok,"{""phi0_out_of_range"": 5, ""progress_out_of_range"": 6}",
60,scrubbing_bathroom_floor,1.0,1.0,False,77,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
61,bringing_paper_to_recycling,3.0,3.0,False,44,200,0.100775,0.094017,-0.006758,54.0,0.2769,0.9773,0.975,-0.0022999999999999687,True,ok,"{""phi0_out_of_range"": 4, ""progress_out_of_range"": 1}",
62,halve_an_egg,5.0,5.0,False,75,200,0.069091,0.135751,0.06666000000000001,99.0,0.513,0.7333,0.965,0.23170000000000002,True,ok,"{""phi0_out_of_range"": 2, ""progress_out_of_range"": 5}",
63,installing_smoke_detectors,1.0,1.0,False,96,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
64,setting_the_table,4.0,4.0,False,40,200,0.104167,0.201149,0.096982,108.0,0.6207,0.6,0.87,0.27,True,ok,"{""phi0_out_of_range"": 16, ""progress_out_of_range"": 10}",
65,unloading_the_car,2.0,2.0,False,42,200,0.0,0.120419,0.120419,46.0,0.2408,0.8571,0.955,0.09789999999999999,True,ok,"{""phi0_out_of_range"": 3, ""progress_out_of_range"": 6}",
