task_index,task_name,D,n_magnitudes,magnitudes_multiple_of_unit,n_episodes,n_valid,valid_rate,phi0_mean,phi0_max,episodes_phi0_gt0,phi0_frac_gt0,phi0_init_mean,initially_true_literals,initially_true_unknown,census_alignment,never_credited_mean,never_credited_frac_gt0,lost_at_end_mean,max_dip_units,episodes_ended_short,demo_completion_rate,frac_intermediate,max_step_frac,n_credit_events,n_levels,t_first_credit,mean_progress,episodes_nonmonotonic,rollback_rewards_zeroed,drop_reasons,note
45,cook_hot_dogs,1.0,1.0,True,200,198.0,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9937,0.0064,0.0,1.0,"{""not_terminated"": 2}",
46,cook_bacon,7.0,2.0,True,200,197.0,0.985,-0.0,-0.0,0.0,0.0,0.116751,1.0,0.0,aligned,0.0,0.0,0.0,1.0,0.0,1.0,0.5908,0.8571,2.223,3.036,0.7933,0.1006,197.0,27.0,"{""over_credited"": 3}",
47,freeze_pies,7.0,2.0,True,200,199.0,0.995,0.220388,0.571429,184.0,0.9246,0.132807,1.0,4.0,aligned,1.045226,0.5779,0.0,2.0,115.0,0.4221,0.7014,0.2857,5.422,5.462,0.5941,0.2016,199.0,6.0,"{""over_credited"": 1}",
48,canning_food,10.0,2.0,True,200,200.0,1.0,0.64949,0.8,196.0,1.0,0.5995,6.0,0.0,aligned,2.495,0.95,0.3,1.0,191.0,0.045,0.8686,0.101,7.905,4.775,0.337,0.5357,200.0,0.0,{},
49,make_pizza,2.0,2.0,True,200,199.0,0.995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,aligned,0.0,0.0,0.0,1.0,0.0,1.0,0.0002,0.5,2.075,3.0,0.9711,0.0289,9.0,14.0,"{""over_credited"": 1}",
50,freeze_fruit,4.0,2.0,True,200,191.0,0.955,0.320652,0.75,161.0,0.875,0.0,0.0,7.0,ambiguous,1.287958,0.8743,0.04712,1.0,168.0,0.1204,0.3966,0.2526,4.518,3.712,0.5175,0.1676,191.0,57.0,"{""over_credited"": 9}",
51,cook_a_brisket,3.0,2.0,True,200,200.0,1.0,0.175973,0.666667,88.0,0.4467,0.326667,1.0,1.0,aligned,0.5,0.43,0.015,1.0,86.0,0.57,0.2747,0.3333,3.455,3.465,0.9006,0.1353,200.0,41.0,{},
52,sorting_bottles_cans_and_paper,3.0,1.0,True,200,200.0,1.0,0.049069,0.666667,28.0,0.1421,0.0,0.0,16.0,ambiguous,0.155,0.15,0.015,1.0,31.0,0.845,0.5114,0.3333,3.115,3.845,0.4529,0.2733,44.0,21.0,{},
53,tidying_living_room,4.0,3.0,True,200,156.0,0.78,0.195565,0.75,71.0,0.5726,0.0,0.0,4.0,aligned,0.833333,0.6026,0.25641,3.0,103.0,0.3397,0.4731,0.3462,5.583,4.128,0.3753,0.287,149.0,118.0,"{""over_credited"": 44}",
54,putting_away_toys,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,ambiguous,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9893,0.0108,0.0,12.0,{},
55,re_shelving_library_books,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,ambiguous,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.01,2.0,0.9799,0.0202,2.0,128.0,{},
56,make_rose_centerpieces,4.0,3.0,True,200,194.0,0.97,0.135638,0.75,81.0,0.4309,0.0,0.0,4.0,aligned,0.56701,0.4485,0.041237,3.0,87.0,0.5515,0.4861,0.2577,5.041,4.433,0.4338,0.2709,137.0,126.0,"{""over_credited"": 6}",
57,sweeping_garage,2.0,2.0,True,200,200.0,1.0,0.01,0.5,4.0,0.02,0.0,0.0,0.0,aligned,0.02,0.02,0.0,1.0,4.0,0.98,0.0813,0.5075,1.985,2.965,0.8653,0.092,4.0,5.0,{},
58,stacking_wood,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,ambiguous,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.225,2.0,0.9855,0.0096,126.0,45.0,{},
59,organizing_art_supplies,5.0,3.0,True,200,194.0,0.97,0.125926,0.8,91.0,0.4815,0.0,0.0,5.0,aligned,0.659794,0.4948,0.025773,1.0,96.0,0.5052,0.5648,0.2021,7.402,5.34,0.3726,0.292,140.0,35.0,"{""over_credited"": 6}",
60,scrubbing_bathroom_floor,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9525,0.0479,0.0,10.0,{},
61,bringing_paper_to_recycling,3.0,1.0,True,200,196.0,0.98,0.094017,0.666667,54.0,0.2769,0.277211,1.0,2.0,aligned,0.260204,0.2551,0.005102,1.0,50.0,0.7449,0.6387,0.3333,3.556,3.714,0.8902,0.2436,194.0,33.0,"{""over_credited"": 4}",
62,halve_an_egg,5.0,3.0,True,200,198.0,0.99,0.135751,0.6,99.0,0.513,0.0,0.0,3.0,aligned,0.70202,0.5253,0.025253,1.0,104.0,0.4747,0.3385,0.4,4.192,4.551,0.6145,0.2146,117.0,102.0,"{""over_credited"": 2}",
63,installing_smoke_detectors,1.0,1.0,True,200,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aligned,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.9502,0.0502,0.0,38.0,{},
64,setting_the_table,4.0,2.0,True,200,184.0,0.92,0.201149,0.5,108.0,0.6207,0.0,0.0,8.0,ambiguous,0.86413,0.6413,0.059783,2.0,118.0,0.3587,0.655,0.2595,4.565,4.125,0.2724,0.2429,150.0,87.0,"{""over_credited"": 16}",
65,unloading_the_car,2.0,2.0,True,200,197.0,0.985,0.120419,0.5,46.0,0.2408,0.0,0.0,2.0,aligned,0.233503,0.2335,0.030457,1.0,52.0,0.736,0.0254,0.5,2.508,2.766,0.8966,0.0743,100.0,82.0,"{""over_credited"": 3}",
